"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"CQSY95UV","bookSection","2015","Khoa, T.H.; Vasant, P.M.; Singh, B.S.M.; Dieu, V.N.","Swarm-based mean-variance mapping optimization (MVMOS) for solving non-convex economic dispatch problems","Handbook of Research on Swarm Intelligence in Engineering","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957398364&doi=10.4018%2f978-1-4666-8291-7.ch007&partnerID=40&md5=6b898dbbf2ec18646719b25b6c2cbcb0","","2015","2022-05-04 12:24:06","2022-05-16 21:56:29","","211-251","","","","","","","","","","","","","","","","Scopus","","","","DOI: 10.4018/978-1-4666-8291-7.ch007","<p>Cited By :5</p>; <p>Export Date: 4 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SMLEKFZ7","journalArticle","2015","Khosravi, R.; Khosravi, A.; Nahavandi, S.; Hajabdollahi, H.","Effectiveness of evolutionary algorithms for optimization of heat exchangers","Energy Conversion and Management","","","10.1016/j.enconman.2014.09.039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908446960&doi=10.1016%2fj.enconman.2014.09.039&partnerID=40&md5=edf4999226d09b7bddf8184ee5a6b0f8","","2015","2022-05-04 12:41:43","2022-05-16 21:56:24","","281-288","","","89","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :46</p>; <p>Export Date: 4 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H7B7N8J7","journalArticle","2015","Krall, Joseph; Menzies, Tim; Davies, Misty","GALE: Geometric Active Learning for Search-Based Software Engineering","IEEE Transactions on Software Engineering","","","10.1109/tse.2015.2432024","https://app.dimensions.ai/details/publication/pub.1061789153","Multi-objective evolutionary algorithms (MOEAs) help software engineers find novel solutions to complex problems. When automatic tools explore too many options, they are slow to use and hard to comprehend. GALE is a near-linear time MOEA that builds a piecewise approximation to the surface of best solutions along the Pareto frontier. For each piece, GALE mutates solutions towards the better end. In numerous case studies, GALE finds comparable solutions to standard methods (NSGA-II, SPEA2) using far fewer evaluations (e.g. 20 evaluations, not 1,000). GALE is recommended when a model is expensive to evaluate, or when some audience needs to browse and understand how an MOEA has made its conclusions.","2015","2022-05-04 12:38:35","2022-05-16 21:56:15","","1001-1018","","10","41","","","","","","","","","","","","","","","","","","<p>https://doi.org/10.1109/tse.2015.2432024</p>","","","excluded; not a primary study","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TGBHJQLS","journalArticle","2015","Li, H.; Li, H.; Cui, H.; Wan, Q.","Optimal active power dispatch based on slack tie-line power for bi-level power system with wind farm","Dianli Zidonghua Shebei/Electric Power Automation Equipment","","","10.16081/j.issn.1006-6047.2015.11.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948407804&doi=10.16081%2fj.issn.1006-6047.2015.11.007&partnerID=40&md5=02d4c250b8a9495fc5cba3097faf3d9c","","2015","2022-05-04 14:36:27","2022-05-16 21:56:12","","39-44 and 51","","11","35","","","","","","","","","","","","","Scopus","","","","","<p>Export Date: 4 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R3NT7XSK","journalArticle","2015","Li, Q.; Zhang, W.; Han, G.; Yang, Y.","Adaptive neuro-fuzzy sliding mode control guidance law with impact angle constraint","IET Control Theory and Applications","","","10.1049/iet-cta.2014.1206","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940985929&doi=10.1049%2fiet-cta.2014.1206&partnerID=40&md5=f9106c0dc2d3b993c5ce218115178674","","2015","2022-05-04 14:59:09","2022-05-16 21:56:08","","2115-2123","","14","9","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :18</p>; <p>Export Date: 4 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KQZJRMUJ","journalArticle","2015","Lian, K.; Peng, X.-Y.; Ouyang, A.","An efficient and effective algorithm for large scale global optimization problems","International Journal of Pattern Recognition and Artificial Intelligence","","","10.1142/S0218001415590065","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929954664&doi=10.1142%2fS0218001415590065&partnerID=40&md5=c16dcdd0ccb25cc1805b4d37dcf6601e","","2015","2022-05-04 14:48:05","2022-05-16 21:56:03","","","","4","29","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :4</p>; <p>Cited By :4</p>; <p>Cited By :4</p>; <p>Export Date: 4 May 2022</p>; <p>Export Date: 4 May 2022</p>; <p>Export Date: 5 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FEM84JPK","journalArticle","2015","Lim, Wei Hong; Isa, Nor Ashidi Mat","Adaptive division of labor particle swarm optimization","Expert Systems with Applications","","","10.1016/j.eswa.2015.03.025","https://app.dimensions.ai/details/publication/pub.1042073948","Although evident progress and considerable achievements have been attained in developing a new particle swarm optimization (PSO) algorithm, successfully balancing the exploration and exploitation capabilities of PSO to determine high-quality solutions for complex optimization problems remains a fundamental challenge. In this study, we propose a new PSO variant, namely, adaptive division of labor (ADOL) PSO (ADOLPSO), to overcome the demerits of our previous work. Specifically, an ADOL module is developed in ADOLPSO to adaptively regulate the exploration and exploitation searches of swarm. To achieve this purpose, both criteria of swarm diversity and fitness are considered during the task allocation process of the ADOLPSO current swarm. Two new operators, namely, convex operator and reflectance operator, are adopted to generate new particles from the memory swarm of ADOLPSO to further enhance the searching accuracy and convergence speed of the proposed algorithm. These two operators are activated to evolve the memory swarm only if a fitness improvement is observed in the current swarm of ADOLPSO to prevent excessive computational complexity. The proposed ADOLPSO is applied to solve 18 benchmark functions with various characteristics. Simulation results of ADOLPSO are compared with those of other nine well-established PSO variants. Experimental findings reveal that ADOLPSO significantly outperforms the other PSO variants in terms of searching accuracy, reliability, and convergence speed.","2015","2022-05-04 14:59:08","2022-05-16 21:55:52","","5887-5903","","14","42","","","","","","","","","","","","","","","","","","<p>Cited By :26</p>; <p>Export Date: 4 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62JW5DCR","journalArticle","2015","Liu, Xiaojia; An, Haizhong; Wang, Lijun","Performance of generated moving average strategies in natural gas futures prices at different time scales","Journal of Natural Gas Science and Engineering","","","10.1016/j.jngse.2015.03.031","https://app.dimensions.ai/details/publication/pub.1001061941","When analyzing investments based on the moving average strategy in natural gas futures markets, the time scale of the data is a notable factor. Most studies on moving average investment strategies have focused on one specific time scale. In this paper, moving average performances based on data at different time scales are compared and analyzed. Weekly, daily and hourly natural gas futures prices from the New York Mercantile Exchange are used as target data. The types of strategies, the lengths of the time periods and the range parameters are coded into a binary string, and genetic algorithm is used to search for suitable lengths, appropriate calculation methods and other parameters. According to the results of three experiments using data at different time scales, the performances differ in type of moving average strategy selection and adoption of range parameter. Generally, experiments based on daily scale data show better performance than weekly and hourly scales in rate of return, return times and return stability. The results from this study could help in choosing data when using moving average strategy in natural gas futures markets.","2015","2022-05-04 14:58:52","2022-05-16 21:55:45","","337-345","","","24","","","","","","","","","","","","","","","","","","<p>Cited By :6</p>; <p>Export Date: 4 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YD9NNS4D","journalArticle","2015","Lu, H.; Zhang, M.; Fei, Z.; Mao, K.","Multi-Objective Energy Consumption Scheduling in Smart Grid Based on Tchebycheff Decomposition","IEEE Transactions on Smart Grid","","","10.1109/TSG.2015.2419814","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960360301&doi=10.1109%2fTSG.2015.2419814&partnerID=40&md5=aed5d609637f199543860116d5532a4b","","2015","2022-05-04 14:36:28","2022-05-16 21:54:48","","2869-2883","","6","6","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :21</p>; <p>Export Date: 4 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N7RGJ66X","journalArticle","2015","Luo, F.; Meng, K.; Dong, Z.Y.; Zheng, Y.; Chen, Y.; Wong, K.P.","Coordinated operational planning for wind farm with battery energy storage system","IEEE Transactions on Sustainable Energy","","","10.1109/TSTE.2014.2367550","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919933514&doi=10.1109%2fTSTE.2014.2367550&partnerID=40&md5=5e7efc92225d3deb82dac5aa34eb6a62","","2015","2022-05-04 14:36:41","2022-05-16 21:54:45","","253-262","","1","6","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :174</p>; <p>Export Date: 4 May 2022</p>; <p>https://api.research-repository.uwa.edu.au/ws/files/10223153/Coordinated_Dispatch_with_Wind_Power_and_BES_Fengji_et_al_wong.pdf</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
